Êý¾ÝÓÉÐÏ²»ÐÐÕûÀí£¬¶ÔÊý¾Ý×Ö¶ÎÓÐÒÉÎÊµÄ£¬¿ÉÒÔÖ±½ÓÎ¢ÐÅË½ÐÅÐÏ²»ÐÐ£¬Î¢ÐÅºÅ£ºxbx9585
¹ÉÆ±´úÂë,¹ÉÆ±Ãû³Æ,½»Ò×ÈÕÆÚ,¿ªÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,ÊÕÅÌ¼Û,Ç°ÊÕÅÌ¼Û,³É½»Á¿,³É½»¶î,Á÷Í¨ÊÐÖµ,×ÜÊÐÖµ
sh603583,N½Ý²ý,2018-09-21,35.0,42.0,35.0,42.0,29.17,44712.0,1870904.0,1268400000.0,5073600000.0
sh603583,½Ý²ýÇý¶¯,2018-09-25,46.2,46.2,46.2,46.2,42.0,47465.0,2192883.0,1395240000.0,5580960000.0
sh603583,½Ý²ýÇý¶¯,2018-09-26,50.82,50.82,50.82,50.82,46.2,284538.0,14460221.0,1534764000.0,6139056000.0
sh603583,½Ý²ýÇý¶¯,2018-09-27,55.9,55.9,52.69,52.91,50.82,16910663.0,907320343.0,1597882000.0,6391528000.0
sh603583,½Ý²ýÇý¶¯,2018-09-28,52.39,54.44,51.18,52.49,52.91,12207670.0,646545747.0,1585198000.0,6340792000.0
sh603583,½Ý²ýÇý¶¯,2018-10-08,50.03,50.64,48.33,49.51,52.49,8147054.0,403656807.0,1495202000.0,5980808000.0
sh603583,½Ý²ýÇý¶¯,2018-10-09,49.53,50.8,49.1,50.13,49.51,6568378.0,328015229.0,1513926000.0,6055704000.0
sh603583,½Ý²ýÇý¶¯,2018-10-10,50.1,50.76,48.35,49.41,50.13,7344970.0,363692703.0,1492182000.0,5968728000.0
sh603583,½Ý²ýÇý¶¯,2018-10-11,45.54,46.2,44.47,44.47,49.41,4211207.0,190390655.0,1342994000.0,5371976000.0
sh603583,½Ý²ýÇý¶¯,2018-10-12,42.6,43.2,40.46,41.18,44.47,7285025.0,306505641.0,1243636000.0,4974544000.0
sh603583,½Ý²ýÇý¶¯,2018-10-15,42.0,42.18,40.51,40.58,41.18,4978765.0,206047404.0,1225516000.0,4902064000.0
sh603583,½Ý²ýÇý¶¯,2018-10-16,39.92,40.88,38.19,39.95,40.58,6448364.0,255915552.0,1206490000.0,4825960000.0
sh603583,½Ý²ýÇý¶¯,2018-10-17,41.2,41.2,38.88,40.0,39.95,4969970.0,199864596.0,1208000000.0,4832000000.0
sh603583,½Ý²ýÇý¶¯,2018-10-18,39.2,39.45,37.25,37.99,40.0,4337116.0,165522651.0,1147298000.0,4589192000.0
sh603583,½Ý²ýÇý¶¯,2018-10-19,37.45,39.6,37.2,39.35,37.99,4777474.0,184817504.0,1188370000.0,4753480000.0
sh603583,½Ý²ýÇý¶¯,2018-10-22,39.95,41.8,38.76,41.0,39.35,7585296.0,307613235.0,1238200000.0,4952800000.0
sh603583,½Ý²ýÇý¶¯,2018-10-23,40.47,42.43,40.2,40.2,41.0,6364091.0,261577585.0,1214040000.0,4856160000.0
sh603583,½Ý²ýÇý¶¯,2018-10-24,40.5,40.86,37.88,39.11,40.2,5085271.0,199903039.0,1181122000.0,4724488000.0
sh603583,½Ý²ýÇý¶¯,2018-10-25,39.5,43.02,39.5,43.02,39.11,10956128.0,462758464.0,1299204000.0,5196816000.0
sh603583,½Ý²ýÇý¶¯,2018-10-26,45.0,47.32,44.56,47.32,43.02,14526877.0,676275734.0,1429064000.0,5716256000.0
sh603583,½Ý²ýÇý¶¯,2018-10-29,48.65,49.3,42.59,42.59,47.32,13942878.0,638680364.0,1286218000.0,5144872000.0
sh603583,½Ý²ýÇý¶¯,2018-10-30,41.83,44.7,41.15,43.6,42.59,10812363.0,461196057.0,1316720000.0,5266880000.0
sh603583,½Ý²ýÇý¶¯,2018-10-31,43.02,45.68,43.01,44.05,43.6,9533539.0,421031231.0,1330310000.0,5321240000.0
sh603583,½Ý²ýÇý¶¯,2018-11-01,44.1,45.24,43.31,43.45,44.05,7920570.0,349445011.0,1312190000.0,5248760000.0
sh603583,½Ý²ýÇý¶¯,2018-11-02,44.0,44.99,43.4,44.5,43.45,8485028.0,375527061.0,1343900000.0,5375600000.0
sh603583,½Ý²ýÇý¶¯,2018-11-05,45.97,48.48,44.44,45.18,44.5,11222513.0,514972139.0,1364436000.0,5457744000.0
sh603583,½Ý²ýÇý¶¯,2018-11-06,43.51,43.88,40.9,43.3,45.18,8020924.0,339157860.0,1307660000.0,5230640000.0
sh603583,½Ý²ýÇý¶¯,2018-11-07,42.91,47.6,42.91,46.0,43.3,10039144.0,458409407.0,1389200000.0,5556800000.0
sh603583,½Ý²ýÇý¶¯,2018-11-08,47.01,48.29,45.81,46.11,46.0,8977637.0,421524142.0,1392522000.0,5570088000.0
sh603583,½Ý²ýÇý¶¯,2018-11-09,45.46,46.65,44.62,45.7,46.11,5270774.0,239818515.0,1380140000.0,5520560000.0
sh603583,½Ý²ýÇý¶¯,2018-11-12,45.8,47.49,45.37,46.6,45.7,5265937.0,245746195.0,1407320000.0,5629280000.0
sh603583,½Ý²ýÇý¶¯,2018-11-13,45.66,47.26,45.38,47.08,46.6,6036992.0,280305415.0,1421816000.0,5687264000.0
sh603583,½Ý²ýÇý¶¯,2018-11-14,47.08,48.34,46.16,46.4,47.08,5902270.0,278610642.0,1401280000.0,5605120000.0
sh603583,½Ý²ýÇý¶¯,2018-11-15,46.58,49.28,46.08,48.42,46.4,7909932.0,377426602.0,1462284000.0,5849136000.0
sh603583,½Ý²ýÇý¶¯,2018-11-16,48.19,48.58,47.53,47.9,48.42,4874760.0,233749659.0,1446580000.0,5786320000.0
sh603583,½Ý²ýÇý¶¯,2018-11-19,48.43,49.3,47.63,48.26,47.9,4753152.0,229896056.0,1457452000.0,5829808000.0
sh603583,½Ý²ýÇý¶¯,2018-11-20,47.2,48.22,45.68,45.82,48.26,4359472.0,204874177.0,1383764000.0,5535056000.0
sh603583,½Ý²ýÇý¶¯,2018-11-21,45.3,46.28,44.7,46.08,45.82,3132525.0,143271777.0,1391616000.0,5566464000.0
sh603583,½Ý²ýÇý¶¯,2018-11-22,45.92,46.38,44.8,45.04,46.08,3120845.0,141922480.0,1360208000.0,5440832000.0
sh603583,½Ý²ýÇý¶¯,2018-11-23,44.99,45.75,43.65,44.97,45.04,3961987.0,177361281.0,1358094000.0,5432376000.0
sh603583,½Ý²ýÇý¶¯,2018-11-26,44.99,45.48,43.38,44.25,44.97,3229533.0,142953908.0,1336350000.0,5345400000.0
sh603583,½Ý²ýÇý¶¯,2018-11-27,44.75,44.97,43.8,44.6,44.25,2434022.0,107864219.0,1346920000.0,5387680000.0
