йЩ╬щсипо╡╩ппуШюМё╛╤тйЩ╬щвж╤нспринй╣дё╛©иртж╠╫сн╒пек╫пепо╡╩ппё╛н╒пе╨её╨xbx9585
╧иф╠╢ЗбК,╧иф╠цШЁф,╫╩рвхуфз,©╙ел╪ш,вН╦ъ╪ш,вН╣м╪ш,йуел╪ш,г╟йуел╪ш,Ёи╫╩а©,Ёи╫╩╤Н,аВм╗йпж╣,вэйпж╣
sh603908,Nда╦ъ╣я,2017-03-07,23.57,23.57,23.57,23.57,16.37,10500.0,247485.0,393383300.0,1571883300.0
sh603908,да╦ъ╣я,2017-03-08,25.93,25.93,25.93,25.93,23.57,2500.0,64825.0,432771700.0,1729271700.0
sh603908,да╦ъ╣я,2017-03-09,28.52,28.52,28.52,28.52,25.93,4500.0,128340.0,475998800.0,1901998800.0
sh603908,да╦ъ╣я,2017-03-10,31.37,31.37,31.37,31.37,28.52,5900.0,185083.0,523565300.0,2092065300.0
sh603908,да╦ъ╣я,2017-03-13,34.51,34.51,34.51,34.51,31.37,3000.0,103530.0,575971900.0,2301471900.0
sh603908,да╦ъ╣я,2017-03-14,37.96,37.96,37.96,37.96,34.51,8100.0,307476.0,633552400.0,2531552400.0
sh603908,да╦ъ╣я,2017-03-15,41.76,41.76,41.76,41.76,37.96,10400.0,434304.0,696974400.0,2784974400.0
sh603908,да╦ъ╣я,2017-03-16,45.94,45.94,45.94,45.94,41.76,18700.0,859078.0,766738600.0,3063738600.0
sh603908,да╦ъ╣я,2017-03-17,50.53,50.53,50.53,50.53,45.94,74400.0,3759432.0,843345700.0,3369845700.0
sh603908,да╦ъ╣я,2017-03-20,55.58,55.58,55.58,55.58,50.53,46300.0,2573354.0,927630200.0,3706630200.0
sh603908,да╦ъ╣я,2017-03-21,61.14,61.14,61.14,61.14,55.58,61400.0,3753996.0,1020426600.0,4077426600.0
sh603908,да╦ъ╣я,2017-03-22,67.25,67.25,67.25,67.25,61.14,135034.0,9081037.0,1122402500.0,4484902500.0
sh603908,да╦ъ╣я,2017-03-23,73.98,73.98,73.98,73.98,67.25,95900.0,7094682.0,1234726200.0,4933726200.0
sh603908,да╦ъ╣я,2017-03-24,81.38,81.38,81.01,81.38,73.98,3624612.0,294970235.0,1358232200.0,5427232200.0
sh603908,да╦ъ╣я,2017-03-27,82.08,88.3,80.01,82.94,81.38,10284932.0,872690924.0,1384268600.0,5531268600.0
sh603908,да╦ъ╣я,2017-03-28,82.0,82.0,75.4,75.48,82.94,5767286.0,449008555.0,1259761200.0,5033761200.0
sh603908,да╦ъ╣я,2017-03-29,73.0,73.99,69.62,70.15,75.48,4962796.0,353834979.0,1170803500.0,4678303500.0
sh603908,да╦ъ╣я,2017-03-30,68.5,71.75,67.3,69.21,70.15,3582186.0,249469549.0,1155114900.0,4615614900.0
sh603908,да╦ъ╣я,2017-03-31,68.96,69.95,63.05,63.39,69.21,3731346.0,245721869.0,1057979100.0,4227479100.0
sh603908,да╦ъ╣я,2017-04-05,63.16,64.5,60.63,63.89,63.39,2796799.0,175816652.0,1066324100.0,4260824100.0
