数据由邢不行整理，对数据字段有疑问的，可以直接微信私信邢不行，微信号：xbx9585
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值
sz300701,N森霸,2017-09-15,15.77,18.92,15.77,18.92,13.14,6500.0,120933.0,378400000.0,1513600000.0
sz300701,森霸股份,2017-09-18,20.81,20.81,20.81,20.81,18.92,2500.0,52025.0,416200000.0,1664800000.0
sz300701,森霸股份,2017-09-19,22.89,22.89,22.89,22.89,20.81,700.0,16023.0,457800000.0,1831200000.0
sz300701,森霸股份,2017-09-20,25.18,25.18,25.18,25.18,22.89,800.0,20144.0,503600000.0,2014400000.0
sz300701,森霸股份,2017-09-21,27.7,27.7,27.7,27.7,25.18,5300.0,146810.0,554000000.0,2216000000.0
sz300701,森霸股份,2017-09-22,30.47,30.47,30.47,30.47,27.7,13900.0,423533.0,609400000.0,2437600000.0
sz300701,森霸股份,2017-09-25,33.52,33.52,33.52,33.52,30.47,16300.0,546376.0,670400000.0,2681600000.0
sz300701,森霸股份,2017-09-26,36.87,36.87,36.87,36.87,33.52,18801.0,693192.0,737400000.0,2949600000.0
sz300701,森霸股份,2017-09-27,40.56,40.56,40.56,40.56,36.87,31700.0,1285752.0,811200000.0,3244800000.0
sz300701,森霸股份,2017-09-28,44.62,44.62,44.62,44.62,40.56,72512.0,3235485.0,892400000.0,3569600000.0
sz300701,森霸股份,2017-09-29,49.08,49.08,49.08,49.08,44.62,89800.0,4407384.0,981600000.0,3926400000.0
sz300701,森霸股份,2017-10-09,53.99,53.99,46.62,46.63,49.08,9010620.0,442327154.0,932600000.0,3730400000.0
sz300701,森霸股份,2017-10-10,45.5,51.29,45.5,51.29,46.63,10312174.0,512685006.0,1025800000.0,4103200000.0
sz300701,森霸股份,2017-10-11,50.0,51.75,46.75,47.0,51.29,9553367.0,470704391.0,940000000.0,3760000000.0
sz300701,森霸股份,2017-10-12,45.8,49.68,43.8,47.5,47.0,6903246.0,320939391.0,950000000.0,3800000000.0
sz300701,森霸股份,2017-10-13,46.86,52.09,46.4,49.3,47.5,7419685.0,368842166.0,986000000.0,3944000000.0
sz300701,森霸股份,2017-10-16,47.89,54.23,44.74,54.23,49.3,12210334.0,620274690.0,1084600000.0,4338400000.0
sz300701,森霸股份,2017-10-17,54.9,59.65,54.54,59.65,54.23,8285765.0,474628440.0,1193000000.0,4772000000.0
sz300701,森霸股份,2017-10-18,61.92,63.06,53.69,54.23,59.65,12913855.0,751599485.0,1084600000.0,4338400000.0
sz300701,森霸股份,2017-10-19,53.1,54.84,51.2,52.09,54.23,8391081.0,442658068.0,1041800000.0,4167200000.0
sz300701,森霸股份,2017-10-20,51.15,51.9,49.05,49.88,52.09,6629168.0,333743021.0,997600000.0,3990400000.0
sz300701,森霸股份,2017-10-23,49.88,50.96,49.09,50.69,49.88,5535006.0,276840085.0,1013800000.0,4055200000.0
sz300701,森霸股份,2017-10-24,50.08,50.19,46.0,47.17,50.69,5470595.0,263347009.0,943400000.0,3773600000.0
sz300701,森霸股份,2017-10-25,47.25,48.59,47.08,48.44,47.17,4111764.0,196907461.0,968800000.0,3875200000.0
sz300701,森霸股份,2017-10-26,47.97,50.59,47.29,49.53,48.44,5337270.0,261310842.0,990600000.0,3962400000.0
sz300701,森霸股份,2017-10-27,49.0,49.7,48.4,48.6,49.53,2964174.0,145058673.0,972000000.0,3888000000.0
sz300701,森霸股份,2017-10-30,47.7,47.7,43.74,43.74,48.6,5254431.0,237054340.0,874800000.0,3499200000.0
sz300701,森霸股份,2017-10-31,43.6,44.81,43.1,44.54,43.74,2409053.0,106450481.0,890800000.0,3563200000.0
sz300701,森霸股份,2017-11-01,44.66,46.9,44.11,45.97,44.54,3669682.0,168702696.0,919400000.0,3677600000.0
