 ˝æ›”…–œ≤ª––’˚¿Ì£¨∂‘ ˝æ›◊÷∂Œ”–“…Œ µƒ£¨ø…“‘÷±Ω”Œ¢–≈ÀΩ–≈–œ≤ª––£¨Œ¢–≈∫≈£∫xbx9585
π…∆±¥˙¬Î,π…∆±√˚≥∆,Ωª“◊»’∆⁄,ø™≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€, ’≈Ãº€,«∞ ’≈Ãº€,≥…Ωª¡ø,≥…Ωª∂Ó,¡˜Õ® –÷µ,◊‹ –÷µ
sz300416,NÀ’ ‘,2015-01-22,15.16,16.53,15.16,16.53,11.48,12200.0,201529.0,259521000.0,1038084000.0
sz300416,À’ ‘ ‘—È,2015-01-23,18.18,18.18,18.18,18.18,16.53,3700.0,67266.0,285426000.0,1141704000.0
sz300416,À’ ‘ ‘—È,2015-01-26,20.0,20.0,20.0,20.0,18.18,9400.0,188000.0,314000000.0,1256000000.0
sz300416,À’ ‘ ‘—È,2015-01-27,22.0,22.0,22.0,22.0,20.0,9522.0,209484.0,345400000.0,1381600000.0
sz300416,À’ ‘ ‘—È,2015-01-28,24.2,24.2,24.2,24.2,22.0,13250.0,320650.0,379940000.0,1519760000.0
sz300416,À’ ‘ ‘—È,2015-01-29,26.62,26.62,26.62,26.62,24.2,39400.0,1048828.0,417934000.0,1671736000.0
sz300416,À’ ‘ ‘—È,2015-01-30,29.28,29.28,29.28,29.28,26.62,44850.0,1313208.0,459696000.0,1838784000.0
sz300416,À’ ‘ ‘—È,2015-02-02,32.21,32.21,32.21,32.21,29.28,112750.0,3631677.5,505697000.0,2022788000.0
sz300416,À’ ‘ ‘—È,2015-02-03,35.43,35.43,35.43,35.43,32.21,105750.0,3746722.5,556251000.0,2225004000.0
sz300416,À’ ‘ ‘—È,2015-02-04,38.97,38.97,38.97,38.97,35.43,94391.0,3678417.3,611829000.0,2447316000.0
sz300416,À’ ‘ ‘—È,2015-02-05,42.87,42.87,42.87,42.87,38.97,116525.0,4995426.8,673059000.0,2692236000.0
sz300416,À’ ‘ ‘—È,2015-02-06,47.16,47.16,38.58,39.15,42.87,9862965.0,401178550.9,614655000.0,2458620000.0
sz300416,À’ ‘ ‘—È,2015-02-09,38.2,39.3,36.5,37.0,39.15,5252135.0,197606280.7,580900000.0,2323600000.0
sz300416,À’ ‘ ‘—È,2015-02-10,36.85,38.44,36.51,36.9,37.0,3167378.0,118249812.6,579330000.0,2317320000.0
sz300416,À’ ‘ ‘—È,2015-02-11,36.55,38.2,36.11,37.12,36.9,3370121.0,125232165.0,582784000.0,2331136000.0
sz300416,À’ ‘ ‘—È,2015-02-12,37.05,38.85,36.65,38.32,37.12,3802035.0,143733674.6,601624000.0,2406496000.0
sz300416,À’ ‘ ‘—È,2015-02-13,37.88,38.88,37.67,38.6,38.32,3924439.0,150314596.8,606020000.0,2424080000.0
sz300416,À’ ‘ ‘—È,2015-02-16,38.55,40.7,37.51,39.72,38.6,4252032.0,165718598.7,623604000.0,2494416000.0
sz300416,À’ ‘ ‘—È,2015-02-17,39.39,39.55,38.23,38.4,39.72,2869230.0,110904499.5,602880000.0,2411520000.0
sz300416,À’ ‘ ‘—È,2015-02-25,38.38,38.38,36.88,36.98,38.4,1874684.0,69932052.8,580586000.0,2322344000.0
sz300416,À’ ‘ ‘—È,2015-02-26,37.24,40.68,37.24,40.68,36.98,5365559.0,215937085.0,638676000.0,2554704000.0
sz300416,À’ ‘ ‘—È,2015-02-27,40.0,42.0,39.5,41.02,40.68,4962260.0,203268052.2,644014000.0,2576056000.0
sz300416,À’ ‘ ‘—È,2015-03-02,40.45,41.99,39.6,41.18,41.02,3863326.0,157495909.7,646526000.0,2586104000.0
sz300416,À’ ‘ ‘—È,2015-03-03,40.81,40.9,39.86,40.5,41.18,3081169.0,124305510.6,635850000.0,2543400000.0
sz300416,À’ ‘ ‘—È,2015-03-04,40.5,41.39,40.24,40.89,40.5,2447219.0,99852289.0,641973000.0,2567892000.0
sz300416,À’ ‘ ‘—È,2015-03-05,40.97,40.97,39.89,40.45,40.89,1755268.0,70635326.4,635065000.0,2540260000.0
sz300416,À’ ‘ ‘—È,2015-03-06,40.66,40.66,38.6,39.69,40.45,2131011.0,83991557.3,623133000.0,2492532000.0
sz300416,À’ ‘ ‘—È,2015-03-09,39.41,41.0,39.05,40.5,39.69,1807900.0,72774101.3,635850000.0,2543400000.0
sz300416,À’ ‘ ‘—È,2015-03-10,40.1,44.55,40.02,44.55,40.5,4745477.0,205217352.7,699435000.0,2797740000.0
sz300416,À’ ‘ ‘—È,2015-03-11,43.84,45.45,42.72,44.7,44.55,3626769.0,159886943.9,701790000.0,2807160000.0
sz300416,À’ ‘ ‘—È,2015-03-12,44.13,46.58,43.38,45.2,44.7,2805884.0,125592353.6,709640000.0,2838560000.0
sz300416,À’ ‘ ‘—È,2015-03-13,45.6,49.72,44.51,49.72,45.2,4144017.0,200080350.4,780604000.0,3122416000.0
sz300416,À’ ‘ ‘—È,2015-03-16,50.0,51.96,49.21,50.88,49.72,3419191.0,172168764.2,798816000.0,3195264000.0
sz300416,À’ ‘ ‘—È,2015-03-17,51.0,55.97,49.38,55.97,50.88,3882432.0,209445917.9,878729000.0,3514916000.0
sz300416,À’ ‘ ‘—È,2015-03-18,55.97,60.0,55.52,56.09,55.97,3541381.0,203858747.2,880613000.0,3522452000.0
sz300416,À’ ‘ ‘—È,2015-03-19,56.5,56.99,54.01,55.39,56.09,2356735.0,130033480.0,869623000.0,3478492000.0
sz300416,À’ ‘ ‘—È,2015-03-20,55.1,58.28,54.4,55.4,55.39,2304356.0,129136398.2,869780000.0,3479120000.0
sz300416,À’ ‘ ‘—È,2015-03-23,55.0,56.8,53.99,56.1,55.4,2228079.0,123350840.3,880770000.0,3523080000.0
sz300416,À’ ‘ ‘—È,2015-03-24,56.1,58.99,52.53,55.38,56.1,2651488.0,148646394.6,869466000.0,3477864000.0
sz300416,À’ ‘ ‘—È,2015-03-25,55.36,57.3,53.61,56.43,55.38,2221841.0,124089367.1,885951000.0,3543804000.0
sz300416,À’ ‘ ‘—È,2015-03-26,54.8,55.97,50.89,53.3,56.43,2951153.0,157027066.2,836810000.0,3347240000.0
sz300416,À’ ‘ ‘—È,2015-03-27,52.6,54.0,51.97,53.25,53.3,1199477.0,63635396.5,836025000.0,3344100000.0
sz300416,À’ ‘ ‘—È,2015-03-30,52.91,53.97,51.0,52.17,53.25,1263376.0,66178793.1,819069000.0,3276276000.0
sz300416,À’ ‘ ‘—È,2015-03-31,51.85,53.5,51.83,52.69,52.17,1160499.0,61289785.0,827233000.0,3308932000.0
sz300416,À’ ‘ ‘—È,2015-04-01,52.45,54.55,52.4,54.1,52.69,1354057.0,72833477.4,849370000.0,3397480000.0
