数据由邢不行整理，对数据字段有疑问的，可以直接微信私信邢不行，微信号：xbx9585
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值
sh601702,N华峰铝,2020-09-07,4.43,5.31,4.43,5.31,3.69,1419137.0,7513969.0,1325535300.0,5302197486.000001
sh601702,华峰铝业,2020-09-08,5.84,5.84,5.84,5.84,5.31,401143.0,2342675.0,1457839200.0000002,5831418704.0
sh601702,华峰铝业,2020-09-09,6.42,6.42,6.42,6.42,5.84,625153.0,4013482.0,1602624600.0,6410566452.0
sh601702,华峰铝业,2020-09-10,7.06,7.06,7.06,7.06,6.42,993369.0,7013185.0,1762387800.0,7049626036.0
sh601702,华峰铝业,2020-09-11,7.77,7.77,6.7,7.77,7.06,157447611.0,1159717228.0,1939625100.0,7758582762.0
sh601702,华峰铝业,2020-09-14,7.35,7.49,6.99,7.22,7.77,128476091.0,923153891.0,1802328600.0,7209390932.0
sh601702,华峰铝业,2020-09-15,7.1,7.28,6.9,7.13,7.22,79613588.0,564960215.0,1779861900.0,7119523178.0
sh601702,华峰铝业,2020-09-16,7.28,7.84,7.25,7.84,7.13,71911032.0,548340255.0,1957099200.0,7828479904.0
sh601702,华峰铝业,2020-09-17,8.18,8.4,7.65,7.8,7.84,144422186.0,1158499231.0,1947114000.0,7788538680.0
sh601702,华峰铝业,2020-09-18,7.59,7.69,7.25,7.54,7.8,80689589.0,597573189.0,1882210200.0,7528920723.999998
sh601702,华峰铝业,2020-09-21,7.5,7.79,7.36,7.79,7.54,63907660.0,483153218.0,1944617700.0,7778553374.0
sh601702,华峰铝业,2020-09-22,7.54,8.09,7.51,7.84,7.79,83449258.0,652191648.0,1957099200.0,7828479904.0
sh601702,华峰铝业,2020-09-23,7.84,8.62,7.84,8.11,7.84,125500942.0,1045980567.0,2024499300.0,8098083166.0
sh601702,华峰铝业,2020-09-24,7.81,7.82,7.3,7.31,8.11,100843950.0,751684677.0,1824795300.0,7299258686.0
sh601702,华峰铝业,2020-09-25,7.26,7.3,6.75,7.06,7.31,57161661.0,400316239.0,1762387800.0,7049626036.0
